Name,Category Main,Category Sub,Price,Unit,Image URL,Local Image,URL,Error
Tôm sú giá rẻ tại Bách hoá XANH,,"Cá, hải sản",175000,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/233735/bhx/tom-su-1kg_202504121937460698.jpg,assets\bhx-images\tom-su-gia-re-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su-1kg,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su-300g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su-hop-6,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su-lon-330ml,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su-chai-1-5l,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot-500g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot-1kg,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot-300g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot-hop-6,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot-lon-330ml,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-sot-chai-1-5l,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-500g,
Mực ống giá rẻ tại Bách hoá XANH,,"Cá, hải sản",34350,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/233753/bhx/muc-ong-1kg_202504121947109207.jpg,assets\bhx-images\muc-ong-gia-re-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-1kg,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-300g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-hop-6,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-lon-330ml,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-chai-1-5l,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra-500g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra-1kg,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra-300g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra-hop-6,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra-lon-330ml,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-tra-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/tao-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/cam-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/xoai-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/chuoi-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/nho-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/dua-hau-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/oi-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/thanh-long-chai-1-5l,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi-500g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi-1kg,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi-300g,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi-hop-6,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi-lon-330ml,
N/A,,trai-cay,,,,,https://www.bachhoaxanh.com/trai-cay/buoi-chai-1-5l,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong-500g,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong-1kg,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong-300g,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong-hop-6,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong-lon-330ml,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-muong-chai-1-5l,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai-500g,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai-1kg,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai-300g,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai-hop-6,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai-lon-330ml,
N/A,,rau,,,,,https://www.bachhoaxanh.com/rau/rau-cai-chai-1-5l,
